X_id,REC_ID,IMAGEURL,REFURL1,DIRECTION1,REFURL2,DIRECTION2,MAINROAD,CROSSROAD,OBJECTID,REFURL3,DIRECTION3,REFURL4,DIRECTION4,geometry
1,8000,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8000.jpg,None,None,None,None,ABELL ST,BABY POINT RD,1,None,None,None,None,"c(-79.3728309938696, 43.6527039960576)"
2,8001,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8001.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8001n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8001e.jpg,East,YORK ST,BREMNER BLVD / RAPTORS WAY,2,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8001s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8001w.jpg,West,"c(-79.3813860009273, 43.6431200069527)"
3,8002,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8002.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8002n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8002e.jpg,East,LOWER SIMCOE ST,BREMNER BLVD,3,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8002s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8002w.jpg,West,"c(-79.3840680012719, 43.6422200106563)"
4,8003,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8003.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8003n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8003e.jpg,East,JARVIS ST,FRONT ST E / LOWER JARVIS ST,4,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8003s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8003w.jpg,West,"c(-79.3712669943727, 43.6494610001075)"
5,8004,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8004.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8004n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8004e.jpg,East,UNIVERSITY AVE,FRONT ST W / YORK ST,5,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8004s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8004w.jpg,West,"c(-79.3825739992347, 43.6451529957272)"
6,8005,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8005.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8005n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8005e.jpg,East,FRONT ST W,SIMCOE ST / LOWER SIMCOE ST,6,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8005s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8005w.jpg,West,"c(-79.3848610027037, 43.6446850095358)"
7,8006,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8006.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8006n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8006e.jpg,East,FRONT ST W,JOHN ST / PRIVATE ACCESS,7,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8006s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8006w.jpg,West,"c(-79.3888450031211, 43.6438570011493)"
8,8007,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8007.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8007n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8007e.jpg,East,SPADINA AVE,FRONT ST W,8,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8007s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8007w.jpg,West,"c(-79.3935820060818, 43.6427400100944)"
9,8008,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8008.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8008n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8008e.jpg,East,BATHURST ST,FRONT ST W,9,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8008s.jpg,South,None,None,"c(-79.4013240045522, 43.6408870010502)"
10,8009,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8009.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8009n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8009e.jpg,East,JARVIS ST,KING ST E,10,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8009s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8009w.jpg,West,"c(-79.3719460096928, 43.6503340036241)"
11,8010,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8010.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8010n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8010e.jpg,East,KING ST E,PARLIAMENT ST,11,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8010s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8010w.jpg,West,"c(-79.3631910065289, 43.6529050006026)"
