_id,address,dir,end_date,flash_speed,geometry,min_speed,schedule,sign_id,sign_name,speed_limit,start_date,strobe_speed,ward_no
30055,127 Wickson Trail,NB,NA,41,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.211247, 43.802922]]}",5,Weekdays from 7 AM - 9 PM,812,Wickson Trail NB,40,2019-11-15T11:00:00Z,46,25
30056,88 Canmore Boulevard,WB,NA,41,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.177901, 43.793952]]}",5,Weekdays from 7 AM - 9 PM,836,Canmore Blvd WB,40,2017-05-26T12:00:00Z,46,25
30057,"48/50, Crow Trail",SB,2024-05-04T12:00:00Z,41,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.232788, 43.810952]]}",5,Weekdays from 7 AM - 9 PM,67644,Crow Trl SB,40,2023-10-31T06:00:00Z,46,23
30058,250 Brenyon Way,EB,NA,51,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.213186, 43.806065]]}",30,Weekdays from 7 AM - 9 PM,844,Brenyon Way EB,50,2019-10-30T14:00:00Z,56,25
30059,7 Hullen Crescent,SB,2020-04-04T23:00:00Z,41,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.619998, 43.729637]]}",30,Weekdays from 7 AM - 9 PM,268,Humberwood Blvd SB,40,2017-09-01T09:00:00Z,46,1
30060,850 Humberwood Boulevard,NB,2018-12-03T15:00:00Z,41,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.620068833, 43.728917912]]}",30,Weekdays from 7 AM - 9 PM,286,Humberwood Blvd NB,40,2016-11-30T11:00:00Z,46,1
30061,Morningside Avenue,NB,2024-01-09T14:00:00Z,31,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.191856, 43.782093]]}",20,Weekdays from 7 AM - 9 PM,1961,Morningside Ave NB,30,2020-03-10T00:00:00Z,36,25
30062,206 Morningside Avenue,NB,NA,51,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.185126, 43.765677]]}",30,Weekdays from 7 AM - 9 PM,2196,Morningside Ave NB,50,2020-05-15T11:00:00Z,56,25
30063,75 Hupfield Trail,NB,NA,41,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.220334, 43.812727]]}",5,Weekdays from 7 AM - 9 PM,2266,Humpfield Trl NB,40,2019-10-30T09:00:00Z,46,25
30064,59 Fawcett Trail,NB,NA,41,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.206567, 43.811596]]}",5,Weekdays from 7 AM - 9 PM,2465,Fawcett Trl NB - C,40,2020-10-30T13:00:00Z,46,25
