sign_id,X_id,ward_no,longitude,latitude,speed_limit,volume,speed_bin,no_camera_in_radius,prob_high_speed
2132,88,17,-79.1193398276926,43.62940722182393,40,62,"[5,10)",TRUE,0.18366153482347725
659,338,22,-79.16122867612867,43.79920579763129,50,69,"[70,75)",FALSE,0.2284611279144883
950,338,15,-79.1824289669632,43.752657959843056,50,21,"[30,35)",TRUE,0.27325429841876026
667,181,21,-79.24756825846853,43.6574945170898,30,19,"[85,90)",FALSE,0.17609285484068096
1961,207,12,-79.45602373430738,43.78512551207095,40,94,"[85,90)",FALSE,0.23205783595331012
488,387,22,-79.29176694194321,43.717231801757585,30,81,"[95,100)",TRUE,0.2284611279144883
950,51,13,-79.28018450859236,43.73144381460734,30,34,"[85,90)",FALSE,0.21606338378041984
659,240,16,-79.39604361653328,43.65773944365792,40,6,"[100,)",FALSE,0.12078052596189082
719,117,16,-79.0211297358619,43.64583108695224,50,56,"[40,45)",FALSE,0.12078052596189082
2132,207,12,-79.1117776968982,43.752558265067634,50,46,"[55,60)",TRUE,0.23205783595331012
659,318,8,-79.62903300070903,43.60741041437723,60,70,"[95,100)",FALSE,0.13440989600494505
1961,359,1,-79.13208303170977,43.722885361686345,50,74,"[100,)",FALSE,0.23757148133590816
978,11,3,-79.1948802464176,43.74869854133576,50,24,"[90,95)",FALSE,0.1690231145825237
719,88,25,-79.52851778111653,43.644299355754626,30,18,"[85,90)",FALSE,0.10599813573062421
164,165,9,-79.43732394622639,43.769175057765096,30,6,"[15,20)",FALSE,0.2898721339181065
164,240,11,-79.4598021316575,43.645316056208685,50,7,"[20,25)",TRUE,0.2465580616146326
488,318,9,-79.45326112927869,43.745757792517544,40,42,"[35,40)",FALSE,0.2898721339181065
950,116,2,-79.31809882828966,43.66862005586736,30,29,"[40,45)",TRUE,0.19843852175399662
978,403,22,-79.01125697382959,43.61015836424195,30,90,"[45,50)",FALSE,0.2284611279144883
164,359,11,-79.31693015662022,43.79062291020527,50,23,"[50,55)",FALSE,0.2465580616146326
2194,237,24,-79.3203509589308,43.76273032147437,60,68,"[95,100)",FALSE,0.13554216166958213
488,248,1,-79.14095876832725,43.64622760992497,40,84,"[85,90)",FALSE,0.23757148133590816
2611,110,6,-79.39109036664013,43.738651738036424,60,19,"[55,60)",FALSE,0.10214000712148846
2194,186,10,-79.05969709517667,43.685363488039,60,70,"[75,80)",FALSE,0.14983852771110834
659,176,21,-79.0578979297541,43.61051495666616,50,33,"[85,90)",TRUE,0.17609285484068096
2611,146,19,-79.36414138738765,43.75076744202524,40,66,"[45,50)",FALSE,0.1704713825136423
302,116,3,-79.0280736308312,43.633488504355775,60,72,"[85,90)",FALSE,0.1690231145825237
2611,361,2,-79.42941417341353,43.631457216199486,30,21,"[80,85)",FALSE,0.19843852175399662
23,392,17,-79.37395071226638,43.73535685110837,40,87,"[95,100)",FALSE,0.18366153482347725
2611,318,25,-79.2563967911061,43.75235765357502,60,69,"[85,90)",FALSE,0.10599813573062421
2622,317,13,-79.5093628597213,43.75888754655607,40,39,"[60,65)",FALSE,0.21606338378041984
2132,186,4,-79.21777899715816,43.72789031499997,30,18,"[85,90)",FALSE,0.29900998231023546
144,359,10,-79.36590889204527,43.73055225340649,40,43,"[65,70)",FALSE,0.14983852771110834
2622,240,7,-79.32886869976065,43.74709744695574,60,41,"[75,80)",TRUE,0.16900317068211734
164,403,13,-79.33819106438897,43.78240720750764,60,3,"[85,90)",FALSE,0.21606338378041984
719,240,19,-79.12036512476625,43.67340638386086,50,45,"[90,95)",FALSE,0.1704713825136423
144,240,7,-79.3497669123346,43.61329826326109,60,96,"[50,55)",FALSE,0.16900317068211734
2611,319,23,-79.31323377627415,43.76134664225392,30,95,"[55,60)",TRUE,0.20431941663846373
23,234,24,-79.62790820323863,43.63277144948952,40,61,"[65,70)",FALSE,0.13554216166958213
144,21,8,-79.03773972988128,43.649714881554246,50,65,"[45,50)",FALSE,0.13440989600494505
950,359,4,-79.02217365561519,43.63792572626844,30,41,"[85,90)",FALSE,0.29900998231023546
978,409,8,-79.10194233474321,43.75418872646987,40,70,"[85,90)",FALSE,0.13440989600494505
144,12,14,-79.10795249888906,43.71536796274595,40,35,"[15,20)",FALSE,0.2189563052263111
2194,319,24,-79.07216325966874,43.66936429636553,60,19,"[70,75)",FALSE,0.13554216166958213
144,208,23,-79.32548846275313,43.74672520947642,60,56,"[85,90)",FALSE,0.20431941663846373
164,316,12,-79.45311691308162,43.71324398699216,30,1,"[85,90)",FALSE,0.23205783595331012
164,84,14,-79.32600310776616,43.75608059829101,50,76,"[50,55)",FALSE,0.2189563052263111
667,21,20,-79.53854708401487,43.71007085270248,50,66,"[20,25)",FALSE,0.17796507151797414
2194,237,2,-79.31249292802532,43.72276015472598,40,44,"[40,45)",TRUE,0.19843852175399662
66,21,5,-79.5071174957906,43.622276494372635,40,40,"[85,90)",FALSE,0.2390534340403974
2622,361,19,-79.02009831678588,43.76080532367341,40,6,"[55,60)",FALSE,0.1704713825136423
667,12,17,-79.50954445385142,43.62961383569054,40,34,"[85,90)",FALSE,0.18366153482347725
667,243,6,-79.12160614206223,43.747300716023894,60,58,"[85,90)",FALSE,0.10214000712148846
950,361,23,-79.22695664268686,43.673897840222345,30,23,"[25,30)",TRUE,0.20431941663846373
659,240,14,-79.11697590210242,43.63408659105189,30,70,"[90,95)",FALSE,0.2189563052263111
416,392,14,-79.20396844975186,43.69596962640062,60,74,"[20,25)",FALSE,0.2189563052263111
667,319,21,-79.45585618315964,43.60118322349154,60,67,"[40,45)",FALSE,0.17609285484068096
659,375,6,-79.36894353390672,43.618312650546436,30,44,"[60,65)",TRUE,0.10214000712148846
23,21,8,-79.24490944053979,43.62003079871647,60,53,"[85,90)",FALSE,0.13440989600494505
659,162,13,-79.59631685428322,43.649066067207606,30,31,"[35,40)",FALSE,0.21606338378041984
